source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
C_rand,mask_signature:unobserved_selector,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,mask_signature:unobserved_selector,unification,50,7,0.14,0.06950833427016294,0.2618619371058554
C_rand,motif_disabled,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,coordinate_transform,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,hidden_regimes,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,meta_law,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,property_to_relation,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,motif_disabled,triadic_relation_reification,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C_rand,motif_disabled,unification,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,role_action_blind_binding,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,role_action_blind_binding,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,role_action_blind_binding,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,role_action_blind_binding,latent_common_cause,50,15,0.3,0.19103553500880954,0.437503504644534
C_rand,role_action_blind_binding,meta_law,50,2,0.04,0.011038884327619805,0.1346009068750702
C_rand,role_action_blind_binding,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
C_rand,role_action_blind_binding,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,role_action_blind_binding,triadic_relation_reification,100,13,0.13,0.07757167427240512,0.20980351440076428
C_rand,role_action_blind_binding,unification,50,0,0.0,6.938893903907228e-18,0.07134759913335872
DeepSeek_grammar,aligned,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,aligned,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,aligned,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,aligned,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,aligned,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,aligned,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,aligned,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
